,Peak memory usage,Weights,Input activations,Activation gradients,Per-batch weight gradients,Per-example weight gradients,Workspace
bert-large_32x32_16_reweight_no_hooks,3358581760,1334329356,681726280,16777216,1332224012,1900306880,0
bert-large_32x32_32_reweight_no_hooks,5263070208,1334329356,1363444360,33554432,1332224012,3800613760,0
bert-large_32x32_64_reweight_no_hooks,9073096192,1334329356,2726880520,67108864,1332224012,7601227520,0
bert-large_32x32_128_reweight_no_hooks,16690001920,1334329356,5453752840,134217728,1332224012,15202455040,0
bert-large_32x32_4_elegant_no_hooks,4341785600,1334329356,170437720,115359792,1332224012,5161056,0
bert-large_32x32_8_elegant_no_hooks,4567617536,1334329356,340867240,230719584,1332224012,10322112,0
bert-large_32x32_16_elegant_no_hooks,5018804224,1334329356,681726280,461439168,1332224012,20644224,0
bert-large_32x32_32_elegant_no_hooks,5923270144,1334329356,1363444360,922878336,1332224012,41288448,0
bert-large_32x32_64_elegant_no_hooks,7728493056,1334329356,2726880520,1845756672,1332224012,82576896,0
bert-large_32x32_128_elegant_no_hooks,11342326272,1334329356,5453752840,3691513344,1332224012,165153792,0
gnmt_64x64_4_naive_no_hooks,7209324544,1106658304,236237096,65536000,1106658304,4426762176,0
gnmt_64x64_8_naive_no_hooks,11667918848,1106658304,472474184,131072000,1106658304,8853396352,0
gnmt_64x64_16_naive_no_hooks,20591235584,1106658304,944948360,262144000,1106658304,17706664704,0
gnmt_64x64_4_reweight_no_hooks,2659972096,1106658304,236237096,65536000,1106658304,1049088000,0
gnmt_64x64_8_reweight_no_hooks,2759930368,1106658304,472474184,131072000,1106658304,2098176000,0
gnmt_64x64_16_reweight_no_hooks,4413199360,1106658304,944948360,262144000,1106658304,4196352000,0
gnmt_64x64_32_reweight_no_hooks,7710382080,1106658304,1889896712,524288000,1106658304,8392704000,0
gnmt_64x64_64_reweight_no_hooks,14310744064,1106658304,3779793416,1048576000,1106658304,16785408000,0
gnmt_64x64_128_reweight_no_hooks,27511665152,1106658304,7559586824,2097152000,1106658304,33570816000,0
gnmt_64x64_4_elegant_no_hooks,4005832704,1106658304,236237096,115671040,1106658304,1626112,0
gnmt_64x64_8_elegant_no_hooks,4397199360,1106658304,472474184,231342080,1106658304,3252224,0
gnmt_64x64_16_elegant_no_hooks,5206934528,1106658304,944948360,462684160,1106658304,6504448,0
gnmt_64x64_32_elegant_no_hooks,6817310720,1106658304,1889896712,925368320,1106658304,13008896,0
gnmt_64x64_64_elegant_no_hooks,10273699840,1106658304,3779793416,1850736640,1106658304,26017792,0
gnmt_64x64_128_elegant_no_hooks,17224168448,1106658304,7559586824,3701473280,1106658304,52035584,0
deepspeech_512x512_4_naive_no_hooks,6314259968,999271552,465432904,41943040,999271552,4412497920,0
deepspeech_512x512_8_naive_no_hooks,11608880128,999271552,930865800,83886080,999271552,8824995840,0
deepspeech_512x512_16_naive_no_hooks,22217305088,999271552,1861731592,167772160,999271552,17649991680,0
deepspeech_512x512_4_reweight_no_hooks,2378320384,999271552,465432904,41943040,999271552,1258455344,0
deepspeech_512x512_8_reweight_no_hooks,3703321600,999271552,930865800,83886080,999271552,2516910688,0
deepspeech_512x512_16_reweight_no_hooks,6406577152,999271552,1861731592,167772160,999271552,5033821376,0
deepspeech_512x512_32_reweight_no_hooks,11819826176,999271552,3723463176,335544320,999271552,10067642752,0
deepspeech_512x512_64_reweight_no_hooks,22626139136,999271552,7446926344,671088640,999271552,20135285504,0
deepspeech_512x512_4_elegant_no_hooks,3804537344,999271552,465432904,251777024,999271552,6066688,0
deepspeech_512x512_8_elegant_no_hooks,4609880576,999271552,930865800,503554048,999271552,12133376,0
deepspeech_512x512_16_elegant_no_hooks,7534308352,999271552,1861731592,1007108096,999271552,24266752,0
deepspeech_512x512_32_elegant_no_hooks,14077139968,999271552,3723463176,2014216192,999271552,48533504,0
deepspeech_512x512_64_elegant_no_hooks,27135015936,999271552,7446926344,4028432384,999271552,97067008,0



resnet18_32x32_128_naive_no_hooks,6101187072,46758048,56087560,16777216,46758048,5985066912,0
resnet18_32x32_256_naive_no_hooks,12115102208,46758048,112175112,33554432,46758048,11970129824,0
resnet18_32x32_512_naive_no_hooks,24183441920,46758048,224350216,67108864,46758048,23940255648,0
resnet18_32x32_128_reweight_no_hooks,1319535104,46758048,56087560,16777216,46758048,1207966720,0
resnet18_32x32_256_reweight_no_hooks,2589899264,46758048,112175112,33554432,46758048,2415933440,0
resnet18_32x32_512_reweight_no_hooks,5131987456,46758048,224350216,67108864,46758048,4831866880,0
resnet18_32x32_1024_reweight_no_hooks,10216114688,46758048,448700424,134217728,46758048,9663733760,0
resnet18_32x32_2048_reweight_no_hooks,20383123968,46758048,897400840,268435456,46758048,19327467520,0
resnet18_32x32_128_elegant_no_hooks,1101520384,46758048,56087560,34852864,46758048,720110592,142820440
resnet18_32x32_256_elegant_no_hooks,1291621376,46758048,112175112,69705728,46758048,725538816,235650088
resnet18_32x32_512_elegant_no_hooks,1660207104,46758048,224350216,139411456,46758048,736395264,393718248
resnet18_32x32_1024_elegant_no_hooks,2423924224,46758048,448700424,278822912,46758048,758108160,715011376
resnet18_32x32_2048_elegant_no_hooks,3465890816,46758048,897400840,557645824,46758048,801533952,882239744
