,Total,Data loading,Forward,Backward activation,Backward weight,Clip/reduce,Add noise,Update,Peak memory usage
resnet18_32x32_512_naive_no_hooks_False,193.44747066497803,0.9937474602147153,11.785632685611123,19.771299864116468,85.5734160071925,66.34844604291413,6.952354782506039,1.8123952965987356,24235364352
resnet18_32x32_512_reweight_no_hooks_False,218.4112134732698,0.9836774123342413,13.587418355439839,19.6442164872822,84.88022653680099,58.01272392272949,6.794891859355726,1.5084053340711092,5183422464
resnet18_32x32_16384_elegant_no_hooks_False,8235.475941708213,20.354653659619782,174.72952290585167,366.7791203448647,3637.030910793104,4030.8551627209313,1.7008891650720646,1.9913284402144582,14728374784
resnet18_32x32_16384_elegant_no_hooks_True,5225.192176668267,20.335875059428968,176.36597156524658,366.28784631427965,3630.7932540993943,1026.25532913208,1.3606408340366263,1.9625676305670487,21779545088
resnet50_32x32_256_naive_no_hooks_False,310.32293721249226,0.6727482143201327,24.6588995582179,37.63379548725329,141.17367016641717,83.87489695298045,17.732783367759303,4.036595946864078,26540320768
resnet50_32x32_512_reweight_no_hooks_False,541.2460942017404,1.008548234638415,23.788772131267347,57.94924811313027,218.80417748501426,146.6787677062185,16.171104029605264,3.568617921126516,5961248768
resnet50_32x32_4096_elegant_no_hooks_False,4654.797930466501,5.426984084279914,123.54447339710437,413.6964396426552,1582.2293023561176,2519.956296619616,3.72936277483639,4.286232747529683,13476943872
resnet50_32x32_4096_elegant_no_hooks_True,3117.178565577457,5.360647251731471,124.1381984007986,413.2054542240344,1936.5418479317113,629.2579034504138,2.677651601402383,4.048767842744526,16567767040
resnet152_32x32_128_naive_no_hooks_False,707.1139937952945,0.5123489781429893,68.08114679236161,80.22361052663703,327.3094327826249,168.9484997799522,49.45877978676244,11.083941710622687,31557919744
resnet152_32x32_512_reweight_no_hooks_False,1475.8967537628978,1.0285942178023488,69.69959484903436,137.6744508743286,749.856101839166,275.82770272305135,50.374244388781094,11.660318625600715,7196704768
resnet152_32x32_2048_elegant_no_hooks_False,4185.819531741895,3.0974965346486947,162.80485454358552,456.926797565661,1079.035212014851,2458.810683350814,9.453323599539305,11.434153506630345,14555771392
resnet152_32x32_2048_elegant_no_hooks_True,2526.1015766545347,3.1438940449764856,165.56272381230406,461.2917398151599,1089.3394536470112,782.1954942502474,8.21307657737481,11.674046516418457,16465787904
bert-base_32x32_64_naive_no_hooks_False,274.44441694962353,0.6752076901887593,38.87061068886205,39.48541064011423,73.53869237397846,91.71480881540398,23.89315554970189,5.7041268599660775,29102294016
bert-base_32x32_256_reweight_no_hooks_False,904.8739859932348,0.730602364791067,131.47371693661339,132.73609311957108,211.76066524104067,260.87507448698346,22.563589246649492,5.283010633368241,23819934720
bert-base_32x32_1024_elegant_no_hooks_False,3609.3318336888365,0.5744632921720806,467.11744760212144,496.0090361143413,776.2022248820255,1858.4617665943347,4.391063257267601,4.679391258641293,23571112448
bert-base_32x32_1024_elegant_no_hooks_True,2753.698468208313,0.5813209634078177,470.2946386839214,497.67664231752093,782.1907804890683,991.2180228986239,4.389078573176735,5.42618099011873,23781133824
bert-large_32x32_16_naive_no_hooks_False,361.9705564097354,0.45894949059737356,47.00969394884611,45.87369216115851,92.85089844151547,122.68627944745515,42.481322037546256,9.637393449482165,25555771392
bert-large_32x32_128_reweight_no_hooks_False,1491.2531250401546,0.5243138263100072,224.25243729039244,222.56017986096833,336.09245952806975,434.94274741724917,42.85264642615067,10.591983795166016,18022226944
bert-large_32x32_256_elegant_no_hooks_False,3101.7272535123325,0.5105169195877878,439.1458975641351,434.6584897292288,654.7974294863249,1551.095821481002,10.041837491487202,10.169681749845806,19783005184
bert-large_32x32_256_elegant_no_hooks_True,2341.6897497679056,0.5217602378443668,438.60697746276855,434.29557900679737,656.736257352327,791.2431059385601,10.040358104203877,8.899889494243421,19783005184
gnmt_64x64_16_naive_no_hooks_False,313.2301506243254,0.43981326253790604,105.60075860274465,97.50358054512425,46.872684830113464,50.295309016579075,7.825675763581929,4.528327992087917,21206029824
gnmt_64x64_64_reweight_no_hooks_False,961.2536555842349,0.5600264197901675,213.6346415469521,176.52510969262374,167.21424303556742,306.1351650639584,8.27986943094354,4.536214627717671,15552894976
gnmt_64x64_128_elegant_no_hooks_False,1614.2346984461735,0.5508473044947574,346.0315465927124,335.8409091045982,338.21662461130245,583.8163338209454,4.832529450717725,4.549139424374229,17350923776
gnmt_64x64_128_elegant_no_hooks_True,1514.8957214857403,0.585568578619706,359.2332350580316,336.5837523811742,339.75041404523347,468.69345870770906,5.053962318520797,4.5245697623805,18068674048
deepspeech_512x512_16_naive_no_hooks_False,907.0692125119662,0.878152094389263,348.991406591315,312.2655529724924,187.98194433513441,45.41188164761192,7.275794681749846,4.1321453295255965,23217234944
deepspeech_512x512_32_reweight_no_hooks_False,1928.6862862737555,1.4984607696533203,452.4308694036383,378.74685463152434,370.6779919172588,673.7684325168008,7.4141903927451684,4.2149957857633895,12819443712
deepspeech_512x512_32_elegant_no_hooks_False,1380.357127440603,1.5386719452707391,452.00640904275997,379.501411789342,371.2609053661949,167.140581984269,4.3041959436316235,4.23280816329153,15077984256
deepspeech_512x512_32_elegant_no_hooks_True,1377.0004510879517,1.47117439069246,451.63090605484814,378.3271249971892,370.0094444877223,166.78506615287378,4.2405245931524975,4.194291014420359,15077984256

gnmt_64x64_128_elegant_no_hooks_True,1522.0100189510144,0.6894061439915707,362.78011924342104,338.0388586144698,342.025525143272,468.17299877969845,5.166307524630898,4.585786869651393,18068674048
